"KEY","EN","BG","ESP","PT"
"Accounting","Contabilidad","Contabilidade"
"Coin in jams: ","Atascos de entrada de moneda:","Atolamentos da entrada de moeda:"
"Coin Alarm: ","Alarma de Moneda:","Alarme de Moeda:"
"Bill In Jams: ","Atascos de Entrada de Billete:","Atolamentos na Entrada de Nota:"
"Bills Rejected: ","Billetes Rechazados:","Notas Rejeitadas:"
"Counterfeit Bill Detected: ","Billetes Falsos Detectados:","Notas Falsas Detectadas:"
"Bill Validator Errors: ","Errores de Validador de Billetes:","Erros do Validador de Notas:"
"Hopper Empty: ","Vaciado de Tolva:","Cesta Vazia:"
"Hopper Coin Out Jams: ","Atascos de Salida de Moneda en Tolva:","Atolamentos da Saída de Moedas da Cesta:"
"Extra Coin Paid: ","Moneda Extra Pagada:","Moeda Extra Paga:"
"Printer Jams: ","Atascos de Impresora:","Atolamentos de Impressora:"
"Printer Errors: ","Errores de Impresora:","Erros da Impressora:"
"Printer Disconnects: ","Desconexiones de Impresora:","Desconexões da Impressora:"
"Mechanical Meter Disconnects: ","Desconexiones de Medidor Mecánico:","Desconexões do Medidor Mecânico:"
"Touch Screen Errors: ","Errores de Pantalla Táctil:","Erros da Tela Sensível ao Toque:"
"Runtime Reset: ","Reinicio de tiempo de ejecución:","Redefinição do Tempo de Execução:"
"Boot Time Reset: ","Reinicio de Tiempo de Arranque:","Redefinição do Tempo de Inicialização:"
"Id Card Scanner Device Disconnected: ","Dispositivo de Escáner de Tarjeta de Id Desconectado:","Dispositivo Digitalizador de Carteira de Identidade Desconectado:"
"Id Card Scanner Scan Error: ","Error de Escaneo de Escáner de Tarjeta de Id:","Erro de Digitalização do Digitalizador de Carteira de Identidade:"
"Id Card Scanner Failed To Read Expiration Date: ","Escáner de Tarjeta de Id no pudo Leer Fecha de Vencimiento:","Digitalizador de Carteira de Identidade Não Conseguiu Ler Data de Validade:"
"Id Card Scanner Failed To Read Date Of Birth: ","Escáner de Tarjeta de Id no pudo Leer Fecha de Nacimiento:","Digitalizador de Carteira de Identidade Não Conseguiu Ler Data de Nascimento:"
"Id Card Scanner Scanned Under Legal Age: ","Escáner de Tarjeta de Id arrojó Minoría de Edad","Digitalizador de Carteira de Identidade Digitalizou Data de Nascimento Abaixo da Idade Legal:"
,,
"Master Accounting","Contabilidad Master","Contabilidade Mestre"
"Period Accounting","Periodo de Contabilidad","Contabilidade do Período"
"%1Number of Bills: ","%1Número de Billetes:","%1 Número de Notas:"
"%1Total Value of Bills: ","%1Valor Total de Billetes:","%1 Valor Total das Notas:"
"%1 bills","%1 billetes","%1 notas"
"Currency Code Bills:","Código de Divisa de Billetes","Notas por Código de Moeda:"
"Exchange Currency Code Bills:","Código de Cambio de Divisa de Billetes","Câmbio das Notas por Código de Moeda:"
,,
"Number of Coins: ","Número de Monedas:","Número de Moedas:"
"Total Value of Coins: ","Valor Total de Monedas:","Valor Total das Moedas:"
"%1 coins","%1 monedas","%1 moedas"
,,
"Logic board door","Puerta de placa lógica","Porta da placa lógica"
"Bill Stacker access","Acceso a apilador de billete","Acesso ao Empilhador de Notas"
"Power information","Información de energía","Informações de Energia"
"Drop door (power off)","Puerta de caída (apagar)","Porta de queda (sem energia)"
"Bill validator door (power off)","Puerta de validador de billetes (apagar)","Porta do validador de notas (sem energia)"
"Bill stacker box door (power off)","Puerta de apilador de billetes (apagar)","Porta da caixa do empilhador de notas (sem energia)"
"Main door (power off)","Puerta principal (apagar)","Porta principal (sem energia)"
"Logic board door (power off)","Puerta de placa lógica (apagar)","Porta da placa lógica (sem energia)"
"Belly door (power off)","Puerta central (apagar)","Porta de barriga (sem energia)"
"Top Box door (power off)","Puerta de Caja Superior (apagar)","Porta do Topo da Caixa (sem energia)"
"Door Ext (power off)","Puerta Ext (apagar)","Porta Ext (sem energia)"
,,
" - Last open","- Última apertura","- Última abertura"
" - Last close","- Último cierre","- Último fechamento"
" - Open count","- Recuento aperturas","- Contagem de aberturas"
" - Close count","- Recuento cierres","- Contagem de fechamentos"
" - Games since last close","- Juegos desde último cierre","- Jogos desde o último fechamento"
" - Last power failed","- Último fallo de energía","- Última queda de energia"
" - Last turned on","- Último encendido","- Última inicialização"
" - Power off duration","- Duración de apagado","- Duração do tempo desligado"
" - Power failures","- Fallos de energía","- Quedas de energia"
" - Games since last power on","- Juegos desde último encendido","- Jogos desde a última inicialização"
" - Last remove","- Última retirada","- Última remoção"
" - Last insert","- Última inserción","- Última inserção"
" - Remove count","- Cuenta de retiradas","- Contagem de remoções"
,,
"DENOMINATION: %1","DENOMINACIÓN %1","DENOMINAÇÃO: %1"
"Total Bet (Coin In): ","Apuesta total (Moneda Introducida):","Aposta Total (Entrada de Moeda):"
,,
"Sort by played games","Sort by played games","Classificar por jogos jogados"
"Sort by total bet ","Sort by total bet","Classificar por aposta total"
,,
"Total Won: ","Total Ganado:","Total Ganho:"
"  -Total Winnings to Credit: ","- Total Ganancias a Crédito:","- Total de Prêmios para Crédito:"
"   -- Winnings from Paytable (Coin Out): ","-- Tabla de Pagos (Salida Moneda):","-- Prêmios da Tabela de Pagamentos (Saída de Moeda):"
"   -- Winnings from Progressives: ","-- Progresivos:","-- Prêmios de Progressivos:"
"   -- Winnings from External Bonuses: ","-- Bonus Externos:","-- Prêmios de Bônus Externos:"
"  -Total Winnings Paid by Attendant: ","-Ganancias Totales Pagadas por Asistentes:","-Total de Prêmios Pagos pelo Atendente:"
"   -- Attendant Paid Paytable Winnings: ","-- Tabla de Pagos Pagadas por Asistente:","-- Prêmios da Tabela de Pagamentos Pagos pelo Atendente:"
"   -- Attendant Paid Progressives: ","-- Progresivos Pagados por Asistente:","-- Progressivos Pagos pelo Atendente:"
"   -- Attendant Paid External Bonuses: ","-- Bonus Externos Pagados por Asistente:","-- Bônus Externos Pagos pelo Atendente:"
"Total Games Played: ","Total Juegos Jugados:","Total de Jogos Jogados:"
"  - Total Games Won: ","- Total Juegos Ganados:","- Total de Jogos Ganhos:"
"  - Total Games Lost: ","- Total Juegos Perdidos:","- Total de Jogos Perdidos:"
,,
"  - Total Cashable Played: ","- Total Reembolsables Jugados:","- Total Convertível em Dinheiro Jogado:"
"  - Total Promotional Played: ","- Total Promocionales Jugados:","- Total Promocional Jogado:"
"  - Total Non-cashable Played: ","- Total No-Reembolsables Jugados:","- Total Não Convertível em Dinheiro Jogado:"
,,
"Machine hold %: ","Retención de máquina %:","% de retenção da máquina:"
"Machine yield %: ","Cesión de máquina %:","% de rendimento da máquina:"
"Game hold %: ","Retención de juego %:","% de retenção do jogo:"
"Game yield %: ","Cesión de juego %:","% de rendimento do jogo:"
"Base Game Current %: ","% Actual Juego Base:","% Atual do Jogo Base:"
"Weighted Average TRTP %: ","Ponderación de TRTP Media %:","Média Ponderada de TRTP %:"
,,
"Total In: ","Entrada Total:","Total de Entradas:"
"  - Physical Coin In: ","- Entrada Moneda Física:","- Entrada de Moeda Física:"
"  - Bill In: ","- Entrada Billete:","- Entrada de Nota:"
"  - Cashless In: ","- Entrada Cashless:","- Entrada Sem Dinheiro:"
"   -- Cashable Electronic In: ","-- Entrada Electrónica de Reembolsable:","-- Entrada Eletrônica Convertível em Dinheiro:"
"    --- Keyed In: ","--- Entrada de Bloqueado:","--- Digitado:"
"   -- Promotional Electronic In: ","-- Entrada Electrónica Promocional:","-- Entrada Eletrônica Promocional:"
"   -- Non-cashable Electronic In: ","-- Entrada Electrónica de No-Reembolsable:","-- Entrada Eletrônica Não Convertível em Dinheiro:"
"  - Voucher In: ","- Entrada Vales:","- Entrada de Cupom:"
"   -- Cashable Voucher In: ","-- Entrada Vales Reembolsables:","-- Entrada de Cupom Convertível em Dinheiro:"
"   -- Promotional Voucher In: ","-- Entrada Vales Promocionales:","-- Entrada de Cupom Promocional:"
"   -- Non-cashable Voucher In: ","-- Entrada de Vale No-Reembolsable:","-- Entrada de Cupom Não Convertível em Dinheiro:"
,,
"Total Out: ","Salida Total:","Total de Saídas:"
"  - Physical Coin Out: ","- Salida Moneda Física:","- Saída de Moedas Físicas:"
"  - Total Winnings Paid by Attendant: ","- Ganancias Totales Pagadas por Asistente:","- Total de Prêmios Pagos pelo Atendente:"
"  - Cancelled Credits Paid by Attendant: ","- Créditos Cancelados Pagados por Asistente:","- Créditos Cancelados Pagos pelo Atendente:"
"  - Voucher Out: ","- Salida de Vales:","- Saída de Cupom:"
"   -- Cashable Voucher Out: ","-- Salida de Vale Reembolsable:","-- Saída de Cupom Convertível em Dinheiro:"
"   -- Non-cashable Voucher Out: ","-- Salida de Vale No-Reembolsable","-- Saída de Cupom Não Convertível em Dinheiro:"
"  - Cashless Out: ","- Salida de Cashless:","- Saída Sem Dinheiro:"
"   -- Cashable Electronic Out: ","-- Salida Electrónica de Reembolsable:","-- Saída Eletrônica Convertível em Dinheiro:"
"   -- Promotional Electronic Out: ","-- Salida Electrónica Promocional:","-- Saída Eletrônica Promocional:"
"   -- Non-cashable Electronic Out: ","-- Salida Electrónica de No-Reembolsable:","-- Saída Eletrônica Não Convertível em Dinheiro:"
,,
"Total Cancelled Credits: ","Total Créditos Cancelados:","Total de Créditos Cancelados:"
"Total Handpay Receipt: ","Total Recibos Pago en Mano:","Total de Receita com Pagamentos Manuais:"
"  - Cancelled Credits Receipt: ","- Recibo de Créditos Cancelados:","- Receita de Créditos Cancelados:"
"  - Jackpot Receipt: ","- Recibo de Jackpot:","- Receita do Jackpot:"
,,
"Coin Drop: ","Caída de Moneda:","Queda de Moeda:"
"Extra Coins Out: ","Salida de Monedas Extra:","Saída de Moedas Extras:"
"Hopper Fill: ","Llenado de Tolva:","Enchimento da Cesta:"
"Quantity of Physical Coins In: ","Cantidad de Monedas Físicas de Entrada:","Quantidade de Entrada de Moedas Físicas:"
"Quantity of Physical Coins Out: ","Cantidad de Monedas Físicas de Salida:","Quantidade de Saída de Moedas Físicas:"
"Quantity of Physical Coins In Drop: ","Cantidad de Monedas Físicas en Caída:","Quantidade de Moedas Físicas na Queda:"
,,
"Total Games Played: ","Total Juegos Jugados:","Total de Jogos Jogados:"
"  - Total Games Won: ","- Total Juegos Ganados:","- Total de Jogos Ganhos:"
"  - Total Games Lost: ","- Total Juegos Perdidos:","- Total de Jogos Perdidos:"
"   -- Main Games Lost: ","-- Juegos Principales Perdidos:","-- Jogos Principais Perdidos:"
"   -- Games Lost In Gamble: ","-- Juegos Perdidos en Apuesta:","-- Jogos Perdidos na Aposta:"
"Details","Detalles","Detalhes"
"Show Details","Mostrar Detalles","Mostrar Detalhes"
"Hide Details","Ocultar Detalles","Ocultar Detalhes"
"Show All Details","Mostrar Todos los Detalles","Mostrar Todos os Detalhes"
"Hide All Details","Ocultar Todos los Detalles","Ocultar Todos os Detalhes"
,,
"Wins Over Jackpot Limit:","Ganancias Sobre Límite de Jackpot","Prêmios Acima do Limite de Jackpot:"
"Bill In: ","Entrada Billete:","Entrada de Nota:"
"Physical Coin Out: ","Salida Moneda Física:","Saída de Moeda Física:"
"AFT In:","Entada AFT","Entrada AFT:"
"AFT Out:","Entada AFT","Saída AFT:"
"Inserted Credits Paid:","Créditos Insertados Pagados","Créditos Inseridos Pagos:"
,,
"Hits","Apariciones","Acertos"
"Wins","Gana","Ganhos"
"Level","Nivel","Nível"
,,
"MINI","MINI","MINI"
"MIDDLE","MEDIO","MÉDIA"
"SUPER","SUPERIOR","SUPER"
"Total: ","Total:","Total:"
"CLUBS","TRÉBOLES","PAUS"
"DIAMONDS","DIAMANTES","OUROS"
"HEARTS","CORAZONES","COPAS"
"SPADES","PICAS","ESPADAS"
"MINOR","MENOR","MENOR"
"MAJOR","MAYOR","MAIOR"
"GRAND","GRAN","GRANDE"
"WHITE","BLANCO","BRANCO"
"GREEN","VERDE","VERDE"
"RED","ROJO","VERMELHO"
"BLUE","AZUL","AZUL"
"MAJOR ADDITIONAL REWARD","RECOMPENSA ADICIONAL MAYOR","RECOMPENSA ADICIONAL MAIOR"
"GRAND ADDITIONAL REWARD","GRAN RECOMPENSA ADICIONAL","RECOMPENSA ADICIONAL GRANDE"
"MINOR ADDITIONAL REWARD","RECOMPENSA ADICIONAL MENOR","RECOMPENSA ADICIONAL MENOR"
,,
"Premium Link Jackpot Statistics","Enlace Premium a Estadísticas de Jackpot","Estatísticas do Jackpot de Premium Link"
"Lady's Cards Jackpot Statistics","Estadísticas de Jackpot Lady's Card","Estatísticas do Jackpot de Lady's Cards"
"Jackpot Cards Statistics","Estadísticas de Jackpot Cards","Estatísticas de Jackpot Cards"
"Coin Jackpot Statistics","Estadísticas de Coin Jackpot","Estatísticas de Coin Jackpot"
"3 Happy Hits Jackpot Statistics","Estadísticas de Jackpot 3 Happy Hits","Estatísticas do Jackpot de 3 Happy Hits"
"Fu Gui Rong Hua Jackpot Statistics","Estadísticas de Jackpot Fu Gui Rong Hua","Estatísticas do Jackpot de Fu Gui Rong Hua"
"Diamond Life Jackpot Statistics","Estadísticas de Jackpot Diamond Life","Estatísticas do Jackpot de Diamond Life"
"4 Happy Hits Jackpot Statistics","Estadísticas de Jackpot 4 Happy Hits","Estatísticas de Jackpot de 4 Happy Hits"
"2 Happy Hits Jackpot Statistics","Enlace 2 Happy Hits a Estadísticas de Jackpot","Estatísticas de Jackpot de 2 Happy Hits"
" Dragons Turn Jackpot Statistics","Enlace Dragons Turn a Estadísticas de Jackpot","Estatísticas de Jackpot de Dragons Turn"
,,
"Press the button to clear all period meters","Pulse el botón 'Start' para limpiar todos los medidores de periodos","Aperte o botão para limpar todos os medidores do período"
"Clear period accounting please wait.","Limpiar periodo de contabilidad, por favor, espere.","Limpando período contábil, favor aguardar."
"%1% complete","%1%","%1% concluído"
"Period meters are cleared","Los medidores de periodos se han limpiado","Os medidores de período foram limpos"
"Take Win' To Navigate Back, 'Start' Clear Accounting Period","Cobrar Premio' Volver al Menú Principal, 'Inicial' Limpieza de Periodo de Contabilidad","""Pegar Prêmio"" para Navegar de Volta, ""Iniciar"" para Limpar Período Contábil"
"Total","Total","Total"
,,
"Gamble Sessions Played:","Sesiones de Apuesta Jugadas:","Sessões de Aposta Jogadas:"
"Gamble Sessions Won:","Sesiones de Apuesta Ganadas:","Sessões de Aposta Ganhas:"
"Gamble Sessions In:","Entrada de Sesiones de Apuesta:","Entrada de Sessões de Aposta:"
"Gamble Sessions Out:","Salida de Sesiones de Apuesta:","Saída de Sessões de Aposta:"
"Gamble Games Played:","Juegos de Apuesta Jugados:","Jogos de Aposta Jogados:"
"Gamble Games Won:","Juegos de Apuesta Ganados:","Jogos de Aposta Ganhos:"
"Gamble Games Lost:","Juegos de Apuesta Perdidos:","Jogos de Aposta Perdidos:"
"Variant %1","Variante %1","Variante %1"
"Progressive Hits:","Progresivos Conseguidos:","Sucessos Progressivos:"
"Host Bonus Hits:","Bonus Host Conseguidos:","Acertos de Bônus do Host:"
"Mystery Jackpot Hits:","Jackpots Misterioso Conseguidos:","Acertos do Jackpot Misterioso:"
,,
"Main Game","Juego Principal","Jogo Principal"
"Free Games","Juegos Gratis","Jogos Grátis"
"Gamble","Apostar","Apostar"
"Jackpot","Jackpot","Jackpot"
"Games","Juegos","Jogos"
"%1 Games","%1 Juegos","%1 Jogos"
"NO GAME AVAILABLE","NO HAY JUEGOS DISPONIBLES","NENHUM JOGO DISPONÍVEL"
"Game %1 of %2 - %3","Juego %1 de %2 - %3","Jogo %1 de %2 - %3"
"Game %1 of %2","Juego %1 de %2","Jogo %1 de %2"
"Type: %1-%2","Tipo: %1-%2","Tipo: %1-%2"
"Free Spin %1 of %2","Free Spin %1 de %2","Rodada Grátis %1 de %2"
"Free Respin %1 of %2","Free Respin %1 of %2","Nova Rodada Grátis %1 de %2"
"Grand Spin %1 of %2","Grand Spin %1 of %2","Grande Rodada %1 de %2"
"Mega Spin %1 of %2","Mega Spin %1 of %2","Mega Rodada %1 de %2"
"Cascade Spin %1","Cascada Girar %1","Rodada em Cascata %1"
"Super Spin %1 of %2","Super Spin %1 de %2","Super Rodada %1 de %2"
"Bonus Prize Spin %1 of %2","Spin Premio Bonus %1 de %2","Rodada de Prêmio Bônus %1 de %2"
"Line %1","Línea %1","Linha %1"
"Line %1 Left","Línea %1 Izquierda","Linha %1 Esquerda"
"Line %1 Right","Línea %1 Derecha","Linha %1 Direita"
"Line %1 Exp.","Línea %1","Linha %1 Exp."
"Line %1 Exp. Left","Línea %1 Izquierda","Linha %1 Exp. Esquerda"
"Line %1 Exp. Right","Línea %1 Derecha","Linha %1 Exp. Direita"
"Reel %1","Rodillo %1","Cilindro %1"
"Way %1","Way %1","Forma %1"
"Scatter","Scatter","Scatter"
"Mystery Scatter","Scatter Misterio","Scatter Misterioso"
"Cluster x%1","Cluster x%1","Conjunto x%1"
"Combination","Combinación","Combinação"
"Combination Left","Combinación Izq","Combinação Esquerda"
"Combination Right","Combinación Der","Combinação Direita"
"Wild Feature","Wild Feature","Modo Wild"
"Mega Spin Game","Juego Mega Spin","Jogo Mega Spin"
"Number of Collected Clovers","Número de Tréboles Recogidos","Número de Trevos Coletados"
"Free Spins Expanding Symbol","Símbolo Desplegable de Giro Libre","Símbolo Expansivo de Rodadas Grátis"
"Current Multiplier","Multiplicador Actual","Multiplicador Atual"
"Free Spin Multiplier","Multiplicador de Free Spin","Multiplicador de Rodada Grátis"
"Free Respin Multiplier","Multiplicador de Free Respin","Multiplicador de Nova Rodada Grátis"
"Super Spin Multiplier","Multiplicador de Super Respin","Multiplicador Super Rodada"
"Mega Spin Multiplier","Multiplicador de Mega Spin","Multiplicador Mega Rodada"
"Maximum Award Reached","Recompensa Máxima Obtenida","Prêmio Máximo Alcançado"
"Current Free Spin Win","Premio Actual de Free Spin","Prêmio atual de Rodada Grátis"
"Current Free Respin Win","Premio Actual de Free Respin","Prêmio de Nova Rodada Grátis Atual"
"Current Grand Spin Win","Premio Actual de Grand Spin","Prêmio Atual da Grande Rodada"
"Current Mega Spin Win","Premio Actual de Mega Spin","Prêmio Atual da Mega Rodada"
"Current Cascade Spin Win","Cascade Actual Girar Ganar","Prêmio Atual da Rodada em Cascata"
"Current Super Spin Win","Super Actual Girar Ganar","Prêmio Atual da Super Rodada"
"Total Bonus Prize Won","Premio Bonus Total Ganado","Total de Prêmio Bônus Ganho"
"Coins Won","Monedas Ganadas","Moedas Ganhas"
"Mini Prize Won","Mini Premio Ganado","Prêmio Mini Ganho"
"Minor Prize Won","Premio Menor Ganado","Prêmio Menor Ganho"
"Major Prize Won","Premio Mayor Ganado","Prêmio Maior Ganho"
"Grand Prize Won","Premio Grandioso Ganado","Prêmio Grande Ganho"
"- Coins Won","- Monedas Ganadas","- Moedas Ganhas"
"- Mini Prize Won","- Mini Premio Ganado","- Prêmio Mini Ganho"
"- Minor Prize Won","- Premio Menor Ganado","- Prêmio Menor Ganho"
"- Major Prize Won","- Premio Mayor Ganado","- Prêmio Maior Ganho"
"- Grand Prize Won","- Premio Grandioso Ganado","- Prêmio Grande Ganho"
" ""Major Prize Won""","“Premio Mayor Ganado”","""Prêmio Maior Ganho"""
"Current Cascade Spin Multiplier","Cascade Actual Girar Multiplicador","Multiplicador de Rodada em Cascata Atual"
"Plus %1 New Free Spins Added","Más %1 Nuevos Free Spins Añadidos","Mais %1 Novas Rodadas Grátis Adicionadas"
"Plus 1 New Free Spin Added","Más 1 Nuevos Free Spins Añadidos","Mais 1 Nova Rodada Grátis Adicionada"
"Plus %1 New Respins Added","Más %1 Nuevos Respin Añadidos","Mais %1 Novas Rodadas Novas Adicionadas"
"Plus %1 New Respin Added","Más %1 Nuevos Respin Añadidos","Mais %1 Nova Rodada Nova Adicionada"
"Won Feature","Ganó Atracción","Modo Ganho"
"Date","Fecha","Data"
"Game Start %1","%1 de Inicio de Juego","Início do Jogo %1"
"Game End %1","%1 de Finde Juego","Fim do Jogo %1"
"Lines Played","Líneas Jugadas","Linhas Jogadas"
"Spots Played","Líneas Jugadas","Pontos Jogados"
"Bet per Line","Apuesta por Líneas","Aposta por Linha"
"Extra Bet","Apuesta Extra","Aposta Extra"
"Bet per %1 Lines","Apuesta por %1 Líneas","Aposta Por %1 Linhas"
"Reel Ways Pay Bet","Apuesta Ways Pay de Rodillo","Pagamento da Aposta para Formas dos Cilindros"
"Jumboways Bet","Apuesta Jumboways","Aposta de Formas Jumbo"
"Reel Ways Pay Bet + Extra Bet","Apuesta Ways Pay de Rodillo + Apuesta Extra","Pagamento da Aposta para Formas dos Cilindros + Aposta Extra"
"Bet Multiplier","Multiplicador de Apuesta","Multiplicador de Aposta"
"Denomination","Denominación","Denominação"
"Bet Option","Opción de Apuesta","Opção de Aposta"
"Buy Free Spins Bet","Comprar Apuesta de Spins Gratis","Comprar Aposta de Rodadas Grátis"
"Total Bet","Apuesta Total","Aposta Total"
"Total Win","Premio total","Prêmio Total"
"Maximum Award x%1 Reached","Recompensa Máxima de x%1 Alcanzada","Prêmio Máx. x%1 Alcançado"
"- Lines Win","- Premio de Líneas","- Prêmio de Linhas"
"- Reel Ways Pay Win","- Premio de Ways Pay de Rodillo","- Pagamento de Prêmio para Formas dos Cilindros"
"- Jumboways Win","- Premio de Jumboways","- Prêmio de Formas Jumbo"
"- Win","- Premio","- Prêmio"
"Mirror Feature","Atracción Espejo","Recurso de Espelho"
"Hidden Symbol","Símbolo Oculto","Símbolo Oculto"
"Juggle Feature","Función Barajado","Recurso de Malabarismo"
"Stacks Pay Win","Premio de Pago por Stacks","Prêmio de Pagamento de Pilhas"
"Hidden Symbol Win","Premio por Símbolo Oculto","Prêmio do Símbolo Oculto"
"- Scatter Win","- Premio de Scatter","- Prêmio de Scatter"
"- Mystery Scatter Win","- Premio de Scatter Misterio","- Prêmio de Scatter Misterioso"
"- Exp. Win","- Premio Exp.","- Prêmio Exp."
"- Juggle Feature Win","- Premio de Función de Barajado","- Prêmio do Modo de Malabarismo"
"- Cluster Win","- Premio de Cluster","- Prêmio do Conjunto"
"Cluster x20","Cluster x20","Conjunto x20"
"- Bonus Prize Win","- Premio de Recompensa Bonus","- Prêmio bônus"
"Progressive Jackpot Win","Premio de Progresive Jackpot","Prêmio do Jackpot Progressivo"
"- Wild Feature Win","- Premio de Atracción Wild","- Prêmio do Modo Wild"
"- Free Respins Win","- Premio de Free Respins","- Prêmio em Nova Rodada Grátis"
"- Grand Spins Win","- Premio Grandioso de Spins","- Prêmio de Grande Rodada"
"- Cascading Win","- Premio de Cascading","- Prêmio de Cascata"
"- Combination Win","- Premio de Combinación","- Prêmio de Combinação"
"    - Respin Lines Win","- Premio de Respin de Líneas","- Prêmio de Linhas com Nova Rodada"
"    - Respin Ways Win","- Premio de Respin de Combinación","- Prêmio de Formas com Nova Rodada"
"- Respin Scatter Win","- Premio de Respin de Scatter","- Prêmio de Scatter Nova Rodada"
"    - Respin Wild Feature Win","- Premio de Respin de Wild","- Prêmio do Modo Wild, Nova Rodada"
"- Cascading Lines Win","- Premio de Cascading de Líneas","- Prêmio de Linhas em Cascata"
"- Cascading Reel Ways Win","- Premio de Cascading de Combinación","- Prêmio de Formas de Cilindros em Cascata"
"- Cascading Combination Win","- Premio de Cascading de Combinación","- Prêmio de Combinação em Cascata"
"- Cascading Scatter Win","- Premio de Cascading de Scatter","- Prêmio de Scatter em Cascata"
"- Stacks Pay Win","- Premio de Cascading de Scatter","- Prêmio de Pagamento de Pilhas"
"- Cascading Wild %1 Win","- Premio de Cascading de Wild %1","- Prêmio de Wild %1 em Cascata"
"- Free Spins Win","- Premio de Free Spins","- Prêmio em Rodadas Grátis"
"-- Free Spins Win","-- Premio de Free Spins","-- Prêmio em Rodadas Grátis"
"- Super Spins Win","- Premio de Super Spins","- Prêmio de Super Rodadas"
"-- Super Spins Win","-- Premio de Super Spins","-- Prêmio de Super Rodadas"
"- Cascading Spins Win","- Premio de Super Spins","- Prêmio de Rodadas em Cascata"
"- Progressive Jackpot Win","- Premio de Progresive Jackpot","- Prêmio de o Jackpot Progressivo"
"- Collect Feature Win","- Cobrar Premio de Atracción","- Recolher Prêmio de Modo"
"- Feature Win","- Premio de Atracción","- Prêmio de Modo"
"- High Cash Jackpot Win","- Premio de Jackpot de Gran Efectivo","- Prêmio Grande de Jackpot em Dinheiro com Alto Valor"
"High Cash Minor Jackpot Win","Premio de Jackpot Menor de Gran Efectivo","Prêmio de Jackpot Menor em Dinheiro com Alto Valor"
"High Cash Mini Jackpot Win","Premio de Mini Jackpot de Gran Efectivo","Prêmio de Jackpot Mini em Dinheiro com Alto Valor"
"High Cash Major Jackpot Win","Premio de Jackpot Mayor de Gran Efectivo","Prêmio de Jackpot Maior em Dinheiro com Alto Valor"
"High Cash Grand Jackpot Win","Premio de Jackpot Grandioso de Gran Efectivo","Prêmio de Jackpot Grande em Dinheiro com Alto Valor"
"- High Cash Minor Jackpot Win","- Premio de Jackpot Menor de Gran Efectivo","- Prêmio de Jackpot Menor em Dinheiro com Alto Valor"
"- High Cash Mini Jackpot Win","- Premio de Mini Jackpot de Gran Efectivo","- Prêmio de Jackpot Mini em Dinheiro com Alto Valor"
"- High Cash Major Jackpot Win","- Premio de Jackpot Mayor de Gran Efectivo","- Prêmio de Jackpot Maior em Dinheiro com Alto Valor"
"- High Cash Grand Jackpot Win","- Premio de Jackpot Grandioso de Gran Efectivo","- Prêmio de Jackpot Grande em Dinheiro com Alto Valor"
" - Coins Won","- Monedas Ganadas","- Moedas Ganhas"
" - Minor Prize Won","- Premio de Recompensa Menor","- Prêmio Menor Ganho"
" - Mini Prize Won","- Premio de Recompensa Mini","- Prêmio Mini Ganho"
" - Major Prize Won","- Premio de Recompensa Mayor","- Prêmio Maior Ganho"
" - Grand Prize Won","- Premio de Recompensa Grandioso","- Prêmio Grande Ganho"
" - Minor Jackpot Win","- Premio de Recompensa Menor","- Prêmio de Jackpot Menor"
" - Mini Jackpot Win","- Premio de Recompensa Mini","- Prêmio de Jackpot Mini"
" - Major Jackpot Win","- Premio de Recompensa Mayor","- Prêmio de Jackpot Maior"
" - Grand Jackpot Win","- Premio de Recompensa Grandioso","- Prêmio de Jackpot Grande"
"- Respin Feature Triggered","- Atracción Respin Activado","- Modo de Nova Rodada Ativado"
"- High Cash Jackpot Feature","- Atracción de Jackpot de Gran Efectivo","- Modo Jackpot em Dinheiro com Alto Valor"
"Respin Feature Triggered","Atracción Respin Activado","Modo de Nova Rodada Ativado"
"High Cash Jackpot Feature","Atracción de Jackpot de Gran Efectivo","Modo Jackpot em Dinheiro com Alto Valor"
"Gamble","Apostar","Apostar"
"Since This Game:","Desde Este Juego:","Desde Este Jogo:"
"- Premium Link Mystery","- Misterio Premium Link","- Mistério de Premium Link"
"- Lady's Cards Mystery","- Misterio Lady's Cards","- Mistério de Lady's Cards"
"- Jackpot Cards Mystery","- Misterio Jackpot Cards","- Mistério de Jackpot Cards"
"- Coin Jackpot Mystery","- Misterio Coin Jackpot","- Mistério de Coin Jackpot"
"- 2 Happy Hits Mystery Major Win","- Premio de Major Misterio 2 Happy Hits","- Prêmio Maior do Mistério de 2 Happy Hits"
"- 2 Happy Hits Mystery Grand Win","- Premio de Grand Misterio 2 Happy Hits","- Prêmio Grande do Mistério de 2 Happy Hits"
"- Collected","- Recaudado","- Coletado"
"- Keyed In","- Bloqueado","- Digitado"
"- Bill In","- Entrada Billete","- Entrada de Nota"
"- Coin In","- Entrada Moneda","- Entrada de Moeda"
"- AFT In","- Entada AFT","- Entrada de AFT"
"- Ticket In","- Entrada Ticket","- Entrada de Bilhete"
"- Host Award","- Premio de Anfitrión","- Prêmio do Host"
"- Mystery","- Misterio","- Mistério"
"Scatter Feature:","- Atracción Scatter:","Modo Scatter:"
"Feature Retriggered","- Atracción Relanzada","Recurso Reativado"
"Chosen:","Escogido:","Escolhido:"
"%1 Free Spins with","%1 Juegos Gratis con","%1 Rodadas Grátis com"
