"KEY","EN","BG","ESP","PT"
"STR_CCTALK_COINACCEPTOR_COIN_VALUE","Coin Value: ","Стойността на монетата: %1","Valor de Moneda:","Valor da Moeda:"
"STR_CCTALK_COINACCEPTOR_COIN_ROUTE","Coin Route: %1","Път на монетата: %1","Ruta de Moneda: %1","Rota da Moeda: %1"
"STR_COIN_STUCK","Coin stuck","Заседнала монета","Atasco de moneda","Moeda presa"
,,,
"STR_CCTALK_HOPPER_SETUP","CCTalk Hopper Settings","CCTalk Настройки на Хопър","Ajustes de Tolva CCTalk","Configurações da Cesta CCTalk"
"STR_CCTALK_HOPPER_DEVICE_NAME","Device Name: %1","Име на устройството: %1","Nombre de Dispositivo: %1","Nome do Dispositivo: %1"
"STR_CCTALK_HOPPER_MANUFACTURER","Manufacturer: %1","Производител: %1","Fabricante: %1","Fabricante: %1"
"STR_CCTALK_HOPPER_EQUIPMENTCATEGORY","Equipment Category: %1","Категория на оборудването: %1","Categoría de Equipo: %1","Categoria de Equipamento: %1"
"STR_CCTALK_HOPPER_PRODUCT_CODE","Product Code: %1","Код на продукта: %1","Código de producto: %1","Código do Produto: %1"
"STR_CCTALK_HOPPER_BUILTCODE","Build code: %1","Код на билда: %1","Código de Construcción: %1","Código do Build: %1"
"STR_CCTALK_HOPPER_SERIALNUMBER","Serial number: %1","Сериен Номер: %1","Número de Serie: %1","Número de série: %1"
"STR_CCTALK_HOPPER_ROMCHECKSUM","ROM checksum: %1","Проверена сумма на ROM: %1","ROM checksum: %1","Código de verificação do ROM: %1"
"STR_CCTALK_HOPPER_COMMSREVISION","Comms revision: %1","Комуникационна ревизия: %1","Revisión comms: %1","Revisão da comunicação: %1"
,,,
"STR_CYCLE_ACCOUNTING","Cycle Accounting","Циклично отчитане","Ciclo de Contabilidad","Contabilidade de Ciclo"
"STR_CYCLE_DATES","Cycle (Start Date - End Date)","Цикл (Начална дата – Крайна дата)","Ciclo (Fecha Inicio - Fecha Fin)","Ciclo (Data Inicial - Data Final)"
"STR_CYCLE_PLAYED","Played","Изигран","Jugado","Jogado"
"STR_CYCLE_COLLECTED","Collected","Събран","Recaudado","Coletado"
"STR_CYCLE_RTP","RTP","RTP","RTP","RTP"
"STR_CYCLE_GAMES","Games","Игри","Juegos","Jogos"
"STR_CURRENT_CYCLE","Current","Текущ","Actual","Atual"
"STR_CYCLE_LOCATION","Location","Локация","Ubicación","Local"
"STR_CYCLE_NO_LOCATION","No Location","Няма локация","No Hay Ubicación","Sem Local"
"STR_CYCLE_LOCATION_GAMES","Games","Игри","Juegos","Jogos"
"STR_CREDITS_ABREVIATION","cr","cr","cr","cr"
"STR_COIN_ACCEPTOR_DIAGNOSTIC","Coin acceptor diagnostic","Апарат за монети","Diagnóstico de admisor de moneda","Diagnóstico do aceitante de moedas"
"STR_INSERT_COIN","Please insert coin","Моля, поставете монета","Por favor,"Por favor, inserte moneda","Favor inserir moeda"
"STR_SUPPORTED_COINS","Supported coins","Поддържани монети","Monedas soportadas","Moedas com suporte"
"STR_LAST_REGISTERED_COIN","Last coin registered: ","Последна монета е регистрирана:","Última moneda registrada:","Última moeda registrada:"
"STR_CYCLE_GAMES_CREDITS","Credits","Кредити","Créditos","Créditos"
,,,
"STR_SET_PHYSICAL_LOCATION","Set Physical Location","Задайте физическо местоположение","Establecer ubicación física","Definir Local Físico"
,,,
"STR_LANGUAGES_LABEL","Languages","Език","Idiomas","Idiomas"
"STR_SET_ENGLISH","English","English","English","inglês"
"STR_SET_BULGARIAN","Български","Български","Български","Български"
"STR_SET_SPANISH","Español","Español","Español","español"
"STR_NO_LIMIT","No Limit","Няма ограничение","Sin límite","Sem Limite"
,,,
"STR_GET","Get",,"Obtener","Obter"
"STR_CANCEL_CALLIBRATION_AND_EXIT","'%1' To Cancel Calibration and Navigate Back","'%1' за анулиране на калибрацията и връщане назад",
"STR_CLEAR","Clear",,"Limpiar","Limpar"
,,,
"STR_SAS_COMMON_PDF_TITLE","SAS Setup/Common","Настройка на SAS/Често срещани","Ajuste SAS/Común","Configuração do SAS/Comum"
"STR_SAS_CHANNELS_PDF_TITLE","SAS Setup/Channels","Настройка на SAS/Канали","Ajuste SAS/Canales","Configuração do SAS/Canais"
"STR_SAS_VOUCHER_DATA_PDF_TITLE","SAS Setup/Voucher Data","Настройка на SAS/Данни за ваучерите","Ajuste SAS/Datos de Vale","Configuração do SAS/Dados de Cupom"
"STR_SAS_AFT_SETUP_PDF_TITLE","SAS Setup/AFT","Настройка на SAS/AFT","Ajuste SAS//AFT","Configuração do SAS/AFT"
,,,
"STR_SAS_GAME_ID","SAS Game ID","SAS ID на играта","ID del juego SAS","ID do Jogo SAS"
"STR_SAS_GAME_NAME","Game Name","Име на играта","Nombre del juego","Nome do jogo"
"STR_SAS_GAME_VARIANT","Game Variant","Вариант на играта","Variante del juego","Variante de Jogo"
"STR_SAS_DENOMINATION","Denomination","Деноминация","Denominación","Denominação"
"STR_SAS_MAX_BET_LINE","Max Bet/Line","Макс залог/линия","Máxima apuesta/línea","Aposta/Linha Máx."
,,,
"STR_HEADER_CURRENT_TIME","Time: ","Време: ","Hora:","Horário:"
"STR_HEADER_GAME_VERSION","Game Version: %1","Версия: %1","Versión del Juego: %1","Versão do Jogo: %1"
"STR_METER_VALUES","Meter Values",,"Valores según Medidor","Valores do Medidor"
"STR_RESTART_THE_MACHINE","Please restart the machine.",,"Favor reiniciar la máquina.","Favor reiniciar a máquina."
"STR_RESTART_TEXT_KENO_MANIA_GAME","Configuration updated!!! Restart is required for changing Show Statististics for / Fast Play !!!",,"¡¡¡Configuración actualizada!!! ¡¡¡Se requiere reiniciar para cambiar Mostrar Estadísticas para / Juego Rápido!!!","Configuração atualizada!!! É necessário reiniciar para alterar o Mostrar Estatísticas para / Jogo Rápido!!!"
"STR_RESTART_TEXT_ROULETTE_GAME","Configuration updated!!! Restart is required for changing Game active / Fast Play !!!",,"¡¡¡Configuración actualizada!!! ¡¡¡Se requiere reiniciar para cambiar Juego activo / Juego Rápido!!!","Configuração atualizada!!! É necessário reiniciar para alterar o Jogo Ativo / Jogo Rápido!!!"
"STR_RESTART_TEXT_BACCARAT_GAME","Configuration updated!!! Restart is required for changing Baccarat Type / Side Bets !!!",,"¡¡¡Configuración actualizada!!! ¡¡¡Se requiere reiniciar para cambiar Tipo de Bacará / Apuestas Secundarias!!!","Configuração atualizada!!! É necessário reiniciar para alterar o Tipo de Bacará / Apostas Paralelas!!!"
"STR_RESTART_FAST_PLAY_TEXT","Configuration updated!!! Restart is required for changing Fast Play !!!","Конфигурацията е актуализирана !!! Рестартирането е необходимо за промяна на типа цвят / тип игра / протокол !!!","Configuración actualizada !!! Se requiere reiniciar para cambiar el tipo de color / juego activo / tipo de protocolo.","Configuração atualizada!!! É necessário reiniciar para alterar o Jogo Rápido!!!"
"STR_RESTART_TEXT_ROULETTE_LOCAL_GAME","Configuration updated!!! Restart is required for changing Game active / Fast Play !!!","Конфигурацията е актуализирана !!! Рестартирането е необходимо за промяна на типа цвят / тип игра / бързо изиграване !!!","¡¡¡Configuración actualizada!!! ¡¡¡Se requiere reiniciar para cambiar Juego activo / Juego Rápido!!!","Configuração atualizada!!! É necessário reiniciar para alterar o Jogo Ativo / Jogo Rápido!!!"
"STR_RESTART_NOW","Restart Now","Рестартиране Сега","Reiniciar Ahora","Reiniciar Agora"
"STR_RESTART_CHIPS_BET_LIMITS","Configuration updated!!! Restart is required for changing the bet limits and settings!!!","Конфигурацията е актуализирана !!! Рестартирането е необходимо за промяна на лимитите на залагане и настройките !!!","Configuración actualizada !!! Se requiere reiniciar para cambiar los límites de apuesta y los ajustes.","Configuração atualizada!!! É necessário reiniciar para alterar os limites e configurações de apostas!!!"
"STR_RESTART_SIDEBET","Configuration updated!!! Restart is required for changing the sidebet settings!!!","Конфигурацията е актуализирана !!! Рестартирането е необходимо за промяна на типа на страничните залози и настройките !!!","Configuración actualizada !!! Se requiere reiniciar para cambiar los secundarias apuestas y los ajustes.","Configuração atualizada!!! É necessário reiniciar para alterar as configurações de aposta paralela!!!"
,,,
"STR_BILLACCEPTOR","Bill Validator",,"Validador de Billetes","Validador de Notas"
"STR_BILL_ACCEPTOR_INIT_FAIL","Validation unsuccessful !!! Bill Validator Type is not Accepted",,"¡¡¡Validación fallida!!! No es Aceptado el Tipo de Validador de Billetes","Erro na validação!!! O Tipo de Validador de Nota não é Aceito"
"STR_OTHER_DEVICES","Other Devices","Други Устройства","Otros Dispositivos","Outros Dispositivos"
"STR_TO_STACKER","To Stacker",,"Al Apilador","Para Empilhador"
"STR_TO_PAYOUT","To Payout",,"Al Pago","Para Pagamento"
"STR_AUTODETECT","Auto detect","Автоматично откриване","Autodetectar","Detecção automática"
"STR_DETECTING_PLEASE_WAIT","Detecting bill validator, please wait ...",,
"STR_CHOOSE_MANUAL","Choose Manual: ",,"Elegir Manual:","Escolha Manual:"
"STR_BILLACCEPTOR_SETUP","Bill Validator Settings",,"Configuración de Validador de Billetes","Configurações do Validador de Notas"
"STR_BILL_CHANNEL", "%1",,
"STR_DIAGNOSTIC_BILL_CHANNEL", "Channel %1 %2",,
"STR_BILL_TICKET", "Ticket",,
"STR_CHANNEL","Channel %1: %2 %3",,"Canal %1: %2 %3","Canal %1: %2 %3"
"STR_BILL_VALIDATOR_NO_PROPER_INFORMATION", "No information from bill validator",,
"STR_BILL_VALIDATOR_DISABLED_CHANNELS", "All channels are disabled",,
"STR_BILL_DIAGNOSTIC_CURR_STATE", "Current state:",,
"STR_BILL_DIAGNOSTIC_ENABLED_CHANNELS", "Enabled channels:",,
"STR_BILL_DIAGNOSTIC_OLD_STATE", "Old states:",,
"STR_DIFFERENT_CURRENCY_CODE", "Different currency code! Selected - %1",,
"STR_FIRMWARE_VERSION","Firmware version: ",,"Versión de Firmware:","Versão do firmware:"
"STR_SERIAL_NUMBER","Serial number: ","Сериен номер: ","Número de Serie:","Número de série:"
"STR_ENABLE_ALL_CHANNELS","ENABLE ALL CHANNELS","ВКЛЮЧИ ВСИЧКИ КАНАЛИ","ACTIVAR TODOS LOS CANALES","ATIVAR TODOS OS CANAIS"
"STR_DISABLE_ALL_CHANNELS","DISABLE ALL CHANNELS","ИЗКЛЮЧИ ВСИЧКИ КАНАЛИ","DESACTIVAR TODOS LOS CANALES","DESATIVAR TODOS OS CANAIS"
"STR_BILL_INAPPROPRIATE_STATE","Inapropriate state to set channels. (%1)", "Неизпълнени условия за запазване на каналите. (%1)","Estado inapropiado para ajustar canales. (%1)","Estado inadequado para definir canais. (%1)"
,,,
"STR_IDREADER","Id Card Scanner",,"Escáner de Tarjeta de Id","Digitalizador de Carteira de Identidade"
"STR_IDREADER_SETUP","Id Card Scanner Setup",,"Configuración de Escáner de Tarjeta de Id","Configuração do Digitalizador de Carteira de Identidade"
"STR_IDREADER_TEST","Id Card Scanner Test",,"Test de Escáner de Tarjeta de Id","Teste do Digitalizador de Carteira de Identidade"
"STR_IDREADER_DETECTING","Detecting Id Card Scanner, please wait ...",,
"STR_IDREADER_USE_ID_CARD","Use the Id Card Scanner to scan an ID.",,"Utilizar el Escáner de Tarjeta de Id para escanear una ID.","Use o Digitalizador de Carteira de Identidade para Digitalizar uma carteira de identidade."
"STR_IDREADER_RAW_STRING","Raw String:",,"Raw String:","String Bruta:"
"STR_IDREADER_DOCUMENT_NUMBER","Document Number:",,"Número de Documento:","Número do Documento:"
"STR_IDREADER_COUNTRY_NAME","Country Name:",,"Nombre del País:","Nome do País:"
"STR_IDREADER_HOLDER_NAME","Holder Name:",,"Nombre del Titular:","Nome do Titular:"
"STR_IDREADER_DATE_OF_BIRTH","Date Of Birth:",,"Fecha de Nacimiento:","Data de Nascimento:"
"STR_IDREADER_EXPIRATION_DATE","Expiration Date:",,"Fecha de Vencimiento:","Data de Validade:"
"STR_IDREADER_DOCUMENT_TYPE","Document Type:",,"Tipo de Documento:","Tipo de Documento:"
"STR_ID_TYPE_PASSPORT_BOOKLET","Passport Booklet",,"Libreta de Pasaporte","Livreto de Passaporte"
"STR_ID_TYPE_OFFICIAL_TRAVEL_DOCUMENT","Official Travel Document",,"Documento Oficial de Viaje","Documento Oficial de Viagem"
"STR_ID_TYPE_MACHINE_VISA_A","Machine Readable Visas type A",,"Visas tipo A Legibles por Máquina","Vistos Legíveis por Máquina tipo A"
"STR_ID_TYPE_MACGINE_VISA_B","Machine Readable Visas type B",,"Visas tipo B Legibles por Máquina","Vistos Legíveis por Máquina tipo B"
"STR_ID_TYPE_UNKNOWN","Unknown Type",,"Tipo Desconocido","Tipo Desconhecido"
,,,
"STR_RIGEL_CONNECTING","Connecting...","Свързване...","Conectando...","Conectando..."
"STR_RIGEL_SAVING","Saving...","Записване...","El Ahorro...","Salvando..."
"STR_RIGEL_SETTINGS","Rigel Settings",,"Configuración Rigel","Configurações de Rígel"
"STR_RIGEL_SETTINGS_PAGE_SELECT","Select Rigel Settings Page",,"Seleccionar Página de Configuración de Rigel","Selecione a Página de Configurações do Rígel"
,,,
"STR_SERVER_CONTROL_SEND_WHEEL_TIME","Send time to wheel","Прати времето към колелото","Enviar tiempo a la rueda","Enviar horário para a roda"
"STR_SERVER_CONTROL_STORE_CF", "Store CF serial number","Запамети CF сериен номер",
"STR_SERVER_CONTROL_OPEN_DOME", "Open the dome","Отвори купола",
"STR_SERVER_CONTROL_CLOSE_DOME","Close the dome","Затвори купола","Cierra la cúpula","Fechar a cúpula"
"STR_SERVER_CONTROL_START_WHEEL", "Start the wheel","Пусни колелото",
"STR_SERVER_CONTROL_STOP_WHEEL","Stop the wheel","Спри колелото","Parar la rueda","Parar a roda"
"STR_SERVER_CONTROL_SWALLOW_BALL","Swallow the ball","Глътни топчето","Tragar la pelota","Engolir a bola"
"STR_SERVER_CONTROL_BLOW_BALL", "Blow the ball","Изстреляй топчето",
"STR_SERVER_CONTROL_AFTER", "After","След",
"STR_BET_AND_CHIPS", "Bet and Chips Settings", "Бет и Чип настройки",
"STR_SIDEBET", "Side Bet Settings", "Странични залагания настройки",
"STR_MP_CHIP_ONE_MIN_BET", "Chip one must be equal to min bet!", "Чип едно трявба да бъде равен на минимален залог!",
"STR_MP_INVALID_CHIP_VALUES_ORDER", "Validation unsuccessful!!! Chip Value %1 must be less than Chip Value %2!", "Валидацията не е успешна!!! Стойността на чип %1 трябва да бъде по-малка от чип-стойност %2!",
"STR_MP_INVALID_BET_ENTRY", "Validation unsuccessful!!! Value of %1 %2 cannot be %3 %4 or %5 %6!", "Валидацията не е успешна!!! Стойността нa %1 %2 не може да бъде %3 %4 или %5 %6!",
"STR_MP_NOT_EVEN", "Validation unsuccessful!!! Value of %1 %2 cannot be odd number!", "Валидацията не е успешна!!! Стойността на %1 %2 не може да бъде нечетно число!",
"STR_BLACKJACK_MIN_MAX", "%1 bet in credits: ", "%1 залог в кредити: ",
"STR_BLACKJACK_CHIP_VALUE", "Chip %1 Value in credits:", "Чип %1 Стойност в кредити:",
"STR_MP_CHIP", "Chip", "Чип",
,,,
"STR_CURRENT","Current","Текущ","Corriente","Atual"
"STR_EXPORT_NO_SETTINGS_SET","No settings to export",,"No hay configuraciones para exportar","Nenhuma configuração para exportar"
"STR_FILENAME_MISSING","Filename missing",,"Falta nombre de archivo","Nome do arquivo ausente"
"STR_FILE_ERROR","File cannot be opened",,"El archivo no puede ser abierto","O arquivo não pode ser aberto"
"STR_DIFFERENT_VERSION","Different Product Version",,"Versión de Producto Distinta","Versão Diferente do Produto"
"STR_DIFFERENT_JURISDICTION","Different Jurisdiction",,"Jurisdicción Distinta","Jurisdição Diferente"
"STR_DIFFERENT_MARKET","Different market file was imported on this machine",,"Un archivo de mercado distinto fue importado en esta máquina","Um arquivo de mercado diferente foi importado nesta máquina"
"STR_MARKET_MISMATCH","Market ID mismatch in import file",,"ID de mercado no coincidente en archivo importado","ID de Mercado incompatível no arquivo importado"
"STR_SERIES_MISMATCH","Series mismatch in import file",,"Serie no coincidente en archivo importado","Série incompatível no arquivo importado"
"STR_PRODUCT_MISMATCH","Product mismatch in import file",,"Producto no coincidente en archivo importado","Produto incompatível no arquivo importado"
"STR_DIFFERENT_PRODUCT","Settings file is not intended for product %1",,"El archivo de configuración no está diseñado para el producto %1","Arquivo de configuração não destinado ao produto %1"
"STR_DIFFERENT_SERIES","Settings file is not intended for series %1",,"El archivo de configuración no está diseñado para la serie %1","Arquivo de configuração não destinado à série %1"
"STR_VERIFICATION_DATA_NOT_FOUND","Verification Data Not Found",,"No se Encontró Data de Verificación","Não Foram Encontrados os Dados de Verificação"
"STR_VERIFICATION_DATA_NOT_EXPECTED","Unexpected Verification Data Found",,"Inesperado No se Encontró Data de Verificación","Foram Encontrados Dados de Verificação Inesperados"
"STR_VERIFICATION_DATA_VALUE_NOT_FOUND","Verification Data Value Not Found",,"No se Encontró Valor de Data de Verificación","Não Foram Encontrados os Valores dos Dados de Verificação"
"STR_VERIFICATION_DATA_VALUE_NOT_EXPECTED","Unexpected Verification Data Value Found",,"Inesperado No se Encontró Valor de Data de Verificación","Foram Encontrados Valores de Dados de Verificação Inesperados"
"STR_VERIFICATION_DATA_COUNT_MISMATCH","Verification Data Count Mismatch",,"Cuenta de Data de Verificación No Coincidente","Contagem Incompatível nos Dados de Verificação"
"STR_GO_TO_NEWEST","Go to Newest","Най-нов","Más nuevo","Ir para o Mais Recente"
"STR_GO_TO_OLDEST","Go to Oldest","Най-стар","Más antiguo","Ir para o Mais Antigo"
"STR_MARKET_ID_CHANGE","Market ID Change", "Смяна на маркет ID","Cambio de Mercado","Alteração de ID do Mercado"
"STR_MARKET_ID","Market ID:","Маркет ID:","Versión de Mercado","ID do Mercado:"
"STR_DIFFERENT_MARKET_ID","Machine not intended for market %1",,"La Máquina no está diseñada para el mercado %1","Máquina não destinada ao mercado %1"
"STR_SAME_MARKET_ID","Settings file has the same Market ID as the machine",,"El archivo de configuración tiene el mismo ID de Mercado que la máquina","O arquivo de configurações tem o mesmo ID de Mercado que a máquina"
"STR_MARKET_SERIAL_NUMBER_VERIFICATION_FAILED", "Market file not intended for this machine",,
"STR_GAMES_SETTINGS_VERIFICATION_FAILED","Invalid Games Settings Configuration",,"Parametrización Inválida de Configuración de Juegos","Definições Inválidas na Configuração de Jogos"
"STR_SETTINGS_IMPORTED","%1 has been imported.","%1 беше импортиран.","%1 ha sido importado.","%1 foi importado."
"STR_FILE_DECRYPTION_ERROR","File cannot be decrypted",,"El archivo no puede ser desencriptado","O arquivo não pôde ser descriptografado"
"STR_FILE_ENCRYPTION_ERROR","File cannot be encrypted",,"El archivo no puede ser encriptado","O arquivo não pôde ser criptografado"
"STR_SERIAL_NUMBER_VERIFICATION_FAILED","Settings file not intended for this machine",,"El archivo sobre configuraciones no está diseñado para esta máquina","Arquivo de configurações não destinado a esta máquina"
"STR_INVALID_EXPORT_TYPE","Settings file not compatible with this operation",,"El archivo sobre configuraciones no es compatible con esta operación","Arquivo de configurações não compatível com esta operação"
"STR_SOFTWARE_UPDATE","Software Update",,"Actualización de Software","Atualização de Software"
"STR_TERMINAL","Terminal",,"Terminal","Terminal"
"STR_USE_GATEWAY","Use gateway",,"Utilizar Puerta de Acceso","Usar gateway"
"JACKPOT_LIMIT","JACKPOT_LIMIT","JACKPOT_LIMIT","JACKPOT_LIMIT","JACKPOT_LIMIT"
"CELEBRATION_LOCK","CELEBRATION_LOCK","CELEBRATION_LOCK","CELEBRATION_LOCK","CELEBRATION_LOCK"
"UPPER_JACKPOT_LIMIT","UPPER_JACKPOT_LIMIT","UPPER_JACKPOT_LIMIT","UPPER_JACKPOT_LIMIT","UPPER_JACKPOT_LIMIT"
"JACKPOT_LOCK","JACKPOT_LOCK","JACKPOT_LOCK","JACKPOT_LOCK","JACKPOT_LOCK"
,,,
"STR_R_STAT_GAME_ZERO","Zero Game %1%","Нулев Сектор %1%","Juego al Cero %1%","Jogo de Zero %1%"
"STR_R_STAT_NEIGHBOURS","Big Series %1%","Голяма Серия %1%","Vacinos del Cero %1%","Série Grande %1%"
"STR_R_STAT_ORPHANS","Orphelins %1%","Орфалайн %1%","Huerfanos %1%","Orphelins %1%"
"STR_R_STAT_THIRDS","Small Series %1%","Малка Серия %1%","Tercios %1%","Série Pequena %1%"
"STR_R_STAT_WHEEL_ZERO"," Zero %1%"," Нула %1%","Cero %1%","Zero %1%"
"STR_R_STAT_WHEEL_ODD"," Odd %1%"," Нечетен %1%","Impar %1%","Ímpar %1%"
"STR_R_STAT_WHEEL_EVEN"," Even %1%"," Четен %1%","Incluso %1%","Par %1%"
"STR_R_STAT_WHEEL_RED"," Red %1%"," Червено %1%","Rojo %1%","Vermelho %1%"
"STR_R_STAT_WHEEL_BLACK"," Black %1%"," Черно %1%","Negro %1%","Preto %1%"
"STR_R_STAT_WHEEL_1ST"," 1st 12 %1%"," 1ви 12 %1%","1st 12 %1%","1º 12 %1%"
"STR_R_STAT_WHEEL_2ND"," 2nd 12 %1%"," 2ри 12 %1%","2do 12 %1%","2º 12 %1%"
"STR_R_STAT_WHEEL_3RD"," 3rd 12 %1%"," 3ти 12 %1%","3er 12 %1%","3º 12 %1%"
"STR_R_STAT_WHEEL_1_18","1-18 %1%","1-18 %1%","1-18 %1%","1-18 %1%"
"STR_R_STAT_WHEEL_19_36","19-36 %1%","19-36 %1%","19-36 %1%","19-36 %1%"
"STR_R_STAT_MALFUNC","MALFUNCION VOIDS ALL PAYS AND PLAYS","MALFUNCION VOIDS ALL PAYS AND PLAYS","MALFUNCION VOIDS ALL PAYS AND PLAYS","ERROS INVALIDAM TODOS OS PAGAMENTOS E JOGOS"
,,,
"STR_JP_VARIANT_CJPROGRESSIVE_1","High Cash Jackpot - 1",,"Jackpot de Gran Efectivo – 1","Jackpot em Dinheiro com Alto Valor - 1"
"STR_PH_BONUS_MAIN_RESPIN_INFO","Main Game Respin %1 of %2","Допълнително завъртане %1 от %2","Main Game Respin %1 of %2","Nova Rodada do Jogo Principal %1 de %2"
"STR_PH_BONUS_FREE_RESPIN_INFO","Free Spin Respin %1 of %2","Допълнително завъртане %1 от %2","Free Spin Respin %1 of %2","Nova Rodada de Rodada Grátis %1 de %2"
,,,
"STR_SIDEBET_HIGH13LOW","Low 13, Exactly 13, High 13","",
"STR_SIDEBET_PERFECT","21+3, Super7, Perfect Pair","",
"STR_SIDEBET_TYPE","Sidebets type:","","Tipo de apuestas secundarias:","Tipos de apostas paralelas:"
"STR_SIDEBET_SUPER_SEVEN","Super7:","","Súper7:","Super7:"
,,,
"STR_PH_AFTER_TRANSFORM","After Transformation","След Превръщане","Después de la Transformación","Após Transformação"
"STR_PH_AFTER_TRANSFORM_WIN","- After Transformation Win","- Печалба След Превръщане","- Después de la Transformación Ganancia","- Prêmio Após Transformação"
"STR_PH_AFTER_TRANSF_WIN_SEPARATOR","After Transformation","След Превръщане","Después de la Transformación","Após Transformação"
,,,
"STR_ERROR_NOT_SUPPORTED_TEST_VIEW","ERROR!!! NOT SUPPORTED VIEW","ГРЕШКА!!! ТОЗИ ТЕСТОВИ ИЗГЛЕД НЕ СЕ ПОДЪРЖА","¡¡¡ERROR!!! VISTA NO SOPORTADA","ERRO!!! SEM SUPORTE PARA ESTA VISUALIZAÇÃO"
"STR_HINT_PREVIOUS_COLOR","Previous color","Предишен цвят","Color anterior","Cor Anterior"
"STR_HINT_NEXT_COLOR","Next color","Следващ цвят","Siguiente color","Próxima Cor"
,,,
"STR_TOUCH_WHOLE_REEL","Touch Whole Reel To Respin:","","Tocar el Rodillo Completo para Respin:","Toque no Cilindro Inteiro para Começar uma Nova Rodada:"
"STR_RESPIN_BTNS_VKB","Respin Buttons on Keyboard:","","Botones de Respin en el Teclado:","Teclas de Nova Rodada no teclado:"
,,,
"STR_FIELD_ACCOUNTING_TITLE","Detailed Accounting","","Contabilidad Detallada","Contabilidade Detalhada"
"STR_ACCOUNTING_FIELD_BUTTON","Detailed accounting","","Contabilidad detallada","Contabilidade detalhada"
,,,
"STR_BET_FIELD_PLAYER","Player","","Jugador","Jogador"
"STR_BET_FIELD_BANKER","Banker","","Banquero","Banqueiro"
"STR_BET_FIELD_TIE","Tie","","Empate","Empate"
"STR_BET_FIELD_PLAYER_PAIR","Player pair","","Par del Jugador","Par do jogador"
"STR_BET_FIELD_BANKER_PAIR","Banker pair","","Par de la Banca","Par do banqueiro"
"STR_BET_FIELD_ANY_PAIR","Any pair","","Cualquier par","Qualquer par"
"STR_BET_FIELD_PERFECT_PAIR","Perfect pair","","Par perfecto","Par perfeito"
"STR_BET_FIELD_FISH","Fish 7","","Pez 7","Peixe 7"
"STR_BET_FIELD_FROG","Frog 8","","Rana 8","Sapo 8"
,,,
"STR_BET_FIELD_MAIN BET","Main bet","","Apuesta Principal","Aposta principal"
"STR_BET_FIELD_INSURANCE","Insurance","","Seguro","Seguro"
"STR_BET_FIELD_SURRENDER","Surrender","","Rendirse","Desistir"
"STR_BET_FIELD_EVEN MONEY","Even money","","Apuesta par","Dinheiro igual"
"STR_BET_FIELD_LOW13","Low13","","Baja13","Baixo13"
"STR_BET_FIELD_ONLY13","Exactly13","","Exactamente13","Exatamente13"
"STR_BET_FIELD_HIGH13","High13","","Alta13","Alto13"
"STR_BET_FIELD_21AND3","21+3","","21+3","21+3"
"STR_BET_FIELD_SUPER7","Super7","","Súper7","Super7"
"STR_BET_FIELD_PERFECTPAIR","PerfectPair","","ParPerfecto","ParPerfeito"
,,,
"STR_NVRAM_BACCARAT_TYPE","Baccarat Type:","Тип Бакара:","Tipo de Bacará:","Tipo de Bacará:"
"STR_COMMISSION","Commission","Комисионна","Comisión","Comissão"
"STR_NO_COMMISSION","No Commission","Без Комисионна","Sin Comisión","Sem Comissão"
"STR_BACCARAT_BET_CONFIG","Side Bets:","","Apuestas secundarias:","Apostas Paralelas:"
"STR_BACCARAT_ENABLE_9","All side bets","","Todas apuestas secundarias","Todas as apostas paralelas"
"STR_BACCARAT_ENABLE_3","None","","Ninguno","Nada"
"STR_SIDEBET_RTP","Side bets RTP %","","Apuestas secundarias RTP %","RTP % das apostas paralelas"
,,,
"STR_BET_FIELD_DRAGON","Dragon","","Dragón","Dragão"
"STR_BET_FIELD_TIGER","Tiger","","Tigre","Tigre"
"STR_BET_FIELD_DT_TIE","Tie","","Empate","Empate"
"STR_BET_FIELD_SUITED_TIE","Suited tie","","Empate con Pinta","Empate de naipes"
"STR_BET_FIELD_SAME_COLOR","Same color","","Mismo color","Mesma cor"
"STR_BET_FIELD_DIFFERENT_COLOR","Different color","","Distinto color","Cor diferente"
"STR_BET_FIELD_DRAGON_BIG","Dragon big","","Dragón grande","Dragão grande"
"STR_BET_FIELD_TIGER_BIG","Tiger big","","Tigre grande","Tigre grande"
"STR_BET_FIELD_DRAGON_SMALL","Dragon small","","Dragón pequeño","Dragão pequeno"
"STR_BET_FIELD_TIGER_SMALL","Tiger small","","Tigre pequeño","Tigre pequeno"
"STR_BET_FIELD_DRAGON_ODD","Dragon odd","","Dragón impar","Dragão ímpar"
"STR_BET_FIELD_TIGER_ODD","Tiger odd","","Tigre impar","Tigre ímpar"
"STR_BET_FIELD_DRAGON_EVEN","Dragon even","","Dragón par","Dragão par"
"STR_BET_FIELD_TIGER_EVEN","Tiger even","","Tigre par","Tigre par"
"STR_BET_FIELD_DRAGON_CLUB","Dragon Club","","Dragón Tréboles","Dragão de Paus"
"STR_BET_FIELD_TIGER_CLUB","Tiger Club","","Tigre Tréboles","Tigre de Paus"
"STR_BET_FIELD_DRAGON_DIAMOND","Dragon Diamond","","Dragón Diamante","Dragão de Ouros"
"STR_BET_FIELD_TIGER_DIAMOND","Tiger Diamond","","Tigre Diamante","Tigre de Ouros"
"STR_BET_FIELD_DRAGON_HEARTS","Dragon Heart","","Dragón Corazones","Dragão de Copas"
